;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Malaysia;4258;6370;7953;10690;11282;15404;25209;11936;18917;32210;35727;42419;42222;40198;32761;29795;38681;32395;31649;29767;31082;27615
Austria;4335;5761;10372;15249;17281;26569;28997;9923;14974;18070;11522;14408;18776;19523;17331;18354;32061;24523;26447;25160;32733;26130
Colombia;2759;2683;3487;4455;5019;5828;6795;6848;7952;10451;15415;19996;19655;23686;20037;24422;29068;25850;28792;29819;26048;20587
Türkiye;3539;2617;5716;8224;14200;15284;25086;15850;28526;40088;28684;50124;38597;47533;33510;29666;39814;27911;28314;23864;19383;20098
Qatar;0;0;0;0;0;0;0;0;0;0;0;0;0;6322;5299;6415;7774;13158;17756;19505;24837;18652
Philippines;4015;4555;5046;5690;7179;10989;14461;7097;9326;16532;17855;22416;22158;26842;23207;22749;27545;25616;26224;22904;23275;18129
Marshall Islands Rep. of the;66;414;942;4475;5545;7461;13586;5330;7221;11174;8160;9781;21279;24260;14091;13291;15304;11673;15826;11103;16422;18077
Liberia;1359;2408;4328;7829;6748;5786;6763;2873;4121;5413;3983;4929;4850;10030;12983;11209;16169;13422;19995;14911;21216;16860
Peru;1673;2486;3999;3874;4588;3763;4604;3576;4978;7576;8900;10830;9478;10437;8709;10253;12940;13284;15233;19316;21069;16431
Poland Rep. of;3098;3369;3481;5624;7537;11816;13860;7841;13968;21810;24221;33665;31585;28136;21599;20003;26669;21707;17113;15642;16668;14766
Argentina;4712;3615;4315;4826;6852;11018;9826;4246;7296;10795;9584;7110;9067;16046;15071;24714;44510;34430;22485;18285;15530;12678
Portugal;4506;4151;5276;6386;6053;6485;8711;3822;6178;5991;4248;6425;10686;13282;12405;10624;14924;10696;12898;13022;11603;12464
Hungary;2026;2430;3091;5104;5635;8410;9225;4549;6800;6565;9081;13082;15448;15258;12347;12021;12632;11776;12393;11092;12972;9636
Greece;4563;4111;5935;8290;10554;16013;25484;8821;11474;7085;3775;4629;7101;10161;7975;7371;9988;8489;11434;10709;9486;8832
Romania;12;73;151;172;251;381;622;151;184;211;1149;1987;3251;4813;3690;3684;4196;4547;5463;8523;8179;7577
Dominican Rep.;163;310;512;502;763;817;849;380;622;815;866;1102;1635;2265;3595;3839;4013;4867;5288;6835;6689;7003
Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;811;701;641;2593;3718;4615;0;6070;6824
Isle of Man;1;0;0;15;62;569;1306;510;1301;2842;2872;3285;3988;3799;3768;4323;6050;2643;4831;6441;8559;6408
Egypt Arab Rep. of;602;485;571;1151;3755;6686;11868;4792;5778;10378;4614;4655;3394;4649;3084;2617;8093;8302;11818;11818;12018;6366
Uruguay;602;555;608;1303;1073;1694;1957;1245;1714;1812;2262;3336;3168;3484;3755;3573;5310;4816;5888;6763;6657;5468
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;750;346;683;1779;3258;3463;3237;4919;4726
Kazakhstan Rep. of;139;111;102;346;336;1288;1341;749;1422;2993;3329;3798;3885;3052;4043;4278;5688;4148;4952;5420;6951;4480
Czech Rep.;481;685;1293;1876;1742;3071;5351;3753;4744;4873;4279;4420;3516;3103;2938;2691;4765;4095;3959;3479;4796;4033
Bahamas The;1647;1921;2912;2651;3266;1674;2262;1284;2171;2009;5253;5467;5646;8424;6869;5978;8099;7516;8474;2799;3893;3518
Barbados;54;141;253;256;272;323;423;400;1365;1476;1580;1684;1831;2471;2803;2837;2352;1700;1913;2605;3535;3277
Nigeria;0;0;0;0;0;0;0;0;0;0;0;0;0;3340;2261;1544;4188;4144;4297;3818;4064;3117
Cyprus;109;91;100;102;210;1123;2968;525;882;1355;1545;1587;3296;1716;1549;1549;2116;1830;2611;3733;7020;2936
Bahrain Kingdom of;0;0;0;0;0;0;0;0;0;0;0;0;0;864;420;666;1108;1578;2723;3158;3412;2750
Angola;0;0;0;0;0;0;0;0;6;0;7;7;0;0;434;349;468;1383;2175;0;2543;2675
Vietnam;21;46;81;112;306;238;248;199;419;1081;1368;1805;2092;2484;2750;2460;3402;3230;3121;2743;3752;2568
Morocco;368;241;163;228;440;416;455;381;293;475;426;1011;1085;2267;2336;2427;2250;1945;2334;3294;3386;2408
Ecuador;773;770;902;1114;983;552;709;386;318;307;287;289;334;705;974;1899;3497;3822;4226;0;3118;2201
Paraguay;0;0;0;0;0;0;0;3;5;5;47;218;393;1044;1028;933;1048;1417;1626;0;2487;2091
Serbia Rep. of;1;7;15;1;108;205;0;0;0;0;436;0;2463;2939;3265;2614;2864;2328;2290;2329;2916;1958
Malta;93;51;19;16;96;155;126;101;82;88;138;181;303;1035;995;801;1259;1119;874;1557;1783;1929
Côte d'Ivoire;161;118;96;97;92;95;159;61;264;181;289;716;788;1022;1858;1345;1665;1768;2026;2274;2473;1919
Guatemala;60;77;109;173;206;206;224;93;48;55;27;248;370;275;248;384;556;552;918;1300;1733;1865
Jordan;98;64;57;40;72;61;111;78;91;118;155;231;1086;2011;3196;3714;4705;4459;3349;2895;2589;1826
Kenya;15;16;21;16;20;15;32;39;103;192;223;444;957;2054;1707;1787;1831;2011;3009;2872;2713;1548
Iceland;224;161;143;242;3229;7828;7268;2049;1451;1644;1447;2103;1947;1885;2138;2627;2600;2111;2510;2537;2659;1454
Costa Rica;190;218;337;259;439;340;376;260;171;122;153;769;1432;1473;1723;1820;2207;1477;2187;1669;1683;1336
Azerbaijan Rep. of;0;0;0;0;0;0;0;0;0;0;7;87;230;654;805;1178;1629;1480;1604;1505;1576;1299
Ukraine;203;370;603;1551;1276;1507;2138;931;960;1789;3120;5740;6483;4762;6985;8373;8978;7620;10232;8455;6371;1275
Ghana;208;564;1216;3;3;3;193;114;229;367;449;582;840;964;1230;1714;3160;2855;2952;3434;3205;1231
Uzbekistan Rep. of;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;1114;1040
Pakistan;180;226;133;146;389;1026;1757;631;784;1174;917;1323;1419;2932;2783;3758;3430;2600;2793;1777;2238;935
Sri Lanka;157;108;88;79;93;182;285;144;1025;1832;2011;2638;3359;3929;3391;3868;4461;3660;3703;1828;1453;860
Slovenia Rep. of;13;45;87;36;79;144;352;164;222;262;255;1359;4011;6183;5156;2157;1705;1634;1690;1572;1458;844
Croatia Rep. of;762;629;676;715;703;400;468;270;780;984;1337;2276;2763;2591;2799;2688;2283;1754;1730;1619;1436;835
Senegal;0;0;0;0;0;1;2;1;11;36;76;39;56;292;297;255;687;997;1140;1038;1091;785
Jamaica;279;141;40;203;446;592;662;337;382;315;243;221;154;417;858;881;1059;721;1093;0;1133;777
Anguilla;0;0;0;2;3;4;15;4;1;0;403;1;660;301;215;1107;2135;678;0;0;1250;719
Iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;592;507;605;2050;1910;2001;0;1591;713
Gabon;0;0;0;0;0;0;0;0;0;0;0;0;0;330;380;492;564;497;661;690;713;703
Slovak Rep.;133;100;88;190;310;299;70;31;31;50;308;651;484;332;345;281;386;465;525;0;735;655
Honduras;44;17;50;42;45;29;27;40;29;29;14;14;294;376;422;389;696;626;541;481;466;652
Trinidad and Tobago;494;484;632;503;516;711;1472;1121;1403;1175;1146;1160;1058;900;720;810;677;761;733;753;715;613
Tunisia;168;666;1280;587;639;608;501;407;463;560;446;462;562;953;1216;1780;1842;1978;1666;1609;643;580
Mongolia;0;0;1;0;0;0;0;0;0;6;17;339;275;240;473;596;1073;1045;988;723;518;554
Venezuela Rep. Bolivariana de;3655;4490;5321;6862;6114;6096;5416;3602;9647;7954;8566;13607;9902;6803;6320;5993;3013;2801;1323;931;563;554
Zambia;5;4;5;1;12;19;79;39;51;46;18;223;142;689;838;885;880;501;354;287;732;546
El Salvador;69;291;601;674;838;935;835;490;739;909;786;1175;941;1266;1004;1475;2171;1577;1878;1439;1006;540
Greenland;0;0;0;0;0;0;0;0;0;0;0;0;0;13;50;56;61;182;165;0;308;508
Estonia Rep. of;44;89;174;343;97;98;174;90;98;130;120;146;149;126;118;113;214;123;76;49;174;394
Benin;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;162;0;452;349
Bulgaria;1762;1474;1443;1172;428;312;561;252;215;254;216;157;172;177;282;287;201;159;103;345;362;329
North Macedonia Republic of;33;34;42;40;53;0;0;0;1;13;8;14;6;208;295;385;568;537;122;0;314;323
Albania;9;6;4;4;6;12;13;13;6;15;82;91;230;239;234;218;303;337;173;0;341;316
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;188;124;110;0;233;304
Georgia;4;1;0;0;0;30;150;91;117;211;221;473;402;578;528;1166;953;533;676;645;425;299
Faroe Islands;0;0;0;0;0;0;14;6;3;27;19;22;58;119;163;313;694;1199;1080;0;1021;297
Belarus Rep. of;0;0;0;0;0;0;0;0;0;109;239;408;312;396;206;329;1012;393;523;794;752;290
Bangladesh;4;1;0;0;0;4;167;47;13;69;80;102;244;646;627;719;924;820;665;499;433;242
Armenia Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;220;216;444;426;284;224;258;279;349;215
Mozambique Rep. of;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73;96;121;125;0;139;208
Antigua and Barbuda;0;0;1;12;34;33;127;29;114;112;44;66;133;0;147;143;149;118;104;3;16;201
Gibraltar;22;13;31;63;211;135;96;64;104;294;494;410;471;384;245;90;198;82;148;0;385;197
Latvia;13;5;0;7;13;13;18;4;10;13;148;780;786;670;470;495;219;244;342;204;65;182
Uganda;5;2;0;0;0;0;1;2;6;0;17;54;42;252;147;41;43;35;60;54;272;164
Cameroon;0;0;0;0;0;0;0;0;0;1;3;4;2;0;181;228;235;205;283;0;178;159
Aruba Kingdom of the Netherlands;271;542;906;1113;1189;1272;1102;908;848;637;548;502;172;167;142;200;189;223;225;190;197;154
Ethiopia The Federal Dem. Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;231;239;220;236;225;248;0;166;149
Turks and Caicos Islands;32;34;57;0;0;0;0;0;0;1;119;121;107;416;407;325;43;42;43;47;41;141
Lebanon;86;105;150;223;408;375;432;283;304;463;460;710;913;1487;1260;2686;3916;2310;995;328;246;130
Congo Rep. of;0;0;0;0;0;0;0;44;128;149;177;223;252;255;256;135;130;98;160;135;136;128
Bolivia;3;0;3;0;0;0;10;0;0;0;0;95;191;151;58;49;155;138;155;0;185;128
Namibia;1;0;3;0;1;2;3;3;4;1;167;130;92;169;294;350;446;455;327;248;125;110
Lithuania;50;35;28;4;53;41;74;44;792;1517;1982;2645;2082;2193;1586;1347;1443;1711;1689;1039;572;109
Rwanda;0;0;0;0;0;0;0;0;0;0;0;0;124;92;131;116;100;109;124;0;138;103
China P.R.: Macao;0;0;0;0;0;0;0;0;13;56;0;0;0;0;0;0;4;21;233;0;48;100
Liechtenstein;59;30;19;35;66;243;263;192;216;299;104;70;92;79;58;60;58;111;123;0;82;67
Mauritania Islamic Rep. of;0;0;0;0;0;0;0;0;0;0;19;45;60;136;170;1;0;0;0;0;0;66
Tanzania United Rep. of;7;3;0;0;0;0;0;0;0;0;0;0;195;249;289;375;315;304;297;31;29;59
Togo;0;0;0;0;0;0;0;2;1;8;2;0;17;51;136;52;27;31;44;150;72;57
Botswana;23;11;5;6;4;5;6;11;40;45;63;67;69;99;79;48;45;39;30;0;16;53
Papua New Guinea;155;154;235;314;782;1298;2429;1820;2802;1310;1355;1479;1672;1562;1616;1790;1958;1677;1858;969;42;42
Andorra Principality of;0;0;0;2;5;9;14;7;0;0;5;8;1;0;0;0;0;0;0;0;39;41
Grenada;8;6;6;2;2;16;14;9;10;19;28;25;19;19;28;34;38;44;38;32;39;34
Tajikistan Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;24;32;0;31;33
Zimbabwe;88;64;61;68;79;203;200;76;68;102;96;124;170;143;84;51;72;134;15;0;31;31
St. Lucia;0;0;0;48;98;66;62;37;15;19;43;18;13;11;9;0;0;0;0;0;11;21
Seychelles;0;0;1;0;0;2;58;1;2;7;27;16;21;27;31;29;7;19;17;14;15;16
Burkina Faso;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;11
Montenegro;0;0;0;0;0;0;0;0;0;0;0;1314;0;20;13;0;3;12;44;0;18;10
Bosnia and Herzegovina;10;27;50;149;114;72;90;20;110;29;102;81;88;86;130;22;10;7;29;20;27;9
Monaco;2;1;3;7;9;10;16;13;12;27;9;5;12;10;11;9;38;14;31;12;7;8
British Indian Ocean Territory;0;0;0;0;0;0;0;0;0;0;0;6;15;0;60;0;0;0;0;0;0;2
Mayotte;0;0;0;0;0;0;0;0;0;0;7;3;1;0;0;0;0;0;0;0;0;1
Niger;0;0;0;0;0;0;0;2;3;3;0;0;0;0;0;0;0;1;1;0;1;1
Afghanistan Islamic Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Samoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bhutan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonaire St. Eustatius and Saba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0
Brunei Darussalam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cambodia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;72;0;0;0;0;0
Chad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christmas Island;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cocos (Keeling) Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comoros Union of the;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo Dem. Rep. of the;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cook Islands;0;0;0;0;73;0;0;1;1;6;6;7;1;1;0;1;0;2;10;0;0;0
Cuba;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
Curaçao and Sint Maarten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Djibouti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eritrea The State of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Equatorial Guinea Rep. of;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0
Eswatini Kingdom of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Falkland Islands (Malvinas);0;0;0;0;1;2;4;1;3;29;17;24;18;12;6;1;0;1;1;1;0;0
Fiji Rep. of;0;0;0;0;0;7;29;27;21;17;7;7;11;67;45;47;50;68;85;0;0;0
French Polynesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
French Southern Territories;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guadeloupe;0;0;0;0;0;0;0;0;0;0;6;0;19;0;0;0;0;0;0;0;0;0
Guam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guiana French;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guinea;0;0;0;0;0;0;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
Guinea-Bissau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guyana;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Holy See;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iran Islamic Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kiribati;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
Korea Dem. People's Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kosovo Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kyrgyz Rep.;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lao People's Dem. Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0
Libya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maldives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;32;34;0;0;0
Martinique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Micronesia Federated States of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montserrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myanmar;0;0;0;0;0;0;0;0;0;0;0;21;13;0;0;0;0;0;0;0;0;0
Nauru Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New Caledonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Niue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norfolk Island;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palau Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pitcairn Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Puerto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reunion;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Helena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Pierre and Miquelon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Samoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Marino Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
São Tomé and Príncipe Dem. Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sint Maarten Kingdom of the Netherlands;0;0;0;0;0;0;0;0;0;0;0;0;0;50;47;0;0;0;0;0;56;0
Solomon Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Somalia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
South Sudan Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St. Kitts and Nevis;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
St. Vincent and the Grenadines;0;0;0;0;0;0;0;10;10;1;1;1;0;2;1;0;0;0;0;0;0;0
Sudan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syrian Arab Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Timor-Leste Dem. Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tokelau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tonga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turkmenistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United States;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Pacific Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United States Virgin Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vanuatu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wallis and Futuna Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West Bank and Gaza;0;0;0;0;0;0;0;0;0;0;1;1;0;25;1;0;0;0;0;0;0;0
Western Sahara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yemen Rep. of;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
