,DEC. 2001,DEC. 2002,DEC. 2003,DEC. 2004,DEC. 2005,DEC. 2006,DEC. 2007,DEC. 2008,DEC. 2009,DEC. 2010,DEC. 2011,DEC. 2012,JUN. 2013,DEC. 2013,JUN. 2014,DEC. 2014,JUN. 2015,DEC. 2015,JUN. 2016,DEC. 2016,JUN. 2017,DEC. 2017,JUN. 2018,DEC. 2018,JUN. 2019,DEC. 2019,JUN. 2020,DEC. 2020,JUN. 2021,DEC. 2021,JUN. 2022,DEC. 2022,JUN. 2023
Ireland,32431.41254,25815,33470,55263.59061,75368,120513,131854,62809,120020,131936,149497,180851,218765.06,280713.7,336142.3,387485,472414,498270,460378,462334,506272,495403,490896,502658,569135,647745,566759,684464,806683,926083,730166,776698,863863
Isle of Man,1,0.3964374,0,15.045865,62,569,1306,510,1301,2842,2872,3285,2859,3988.8,3540,3799,3693,3768,3836,4323,4788,6050,5338,2643,4109,4831,4196,6441,8383,8559,5971,6408,6734
Israel,21233.21268,20109,28664,34315.23598,44313,41517,54250,46064,58804,63502,57968,56544,57890.471,62534.8,70059.5,75148,75267,79785,72981,64592,70771,66211,69544,64930,67884,69562,76617,94555,109491,118462,84510,87182,85310
Italy,48207.81539,47600,66931,77709.62601,79393,105893,119963,61763,78505,65638,62483,109565,79297.969,123541,150720.5,109321,115298,106546,90924,91862,117674,140214,132068,115191,132534,142897,126700,147658,156615,162032,122301,123893,145228
Jamaica,279.1211125,141.8089122,40,203.556402,446,592,662,337,382,315,243,221,134,154.5,133,417,,858,,881,,1059,,721,,1093,,,,1133,,777,
Japan,197839.4289,195439,291850,369806.4688,520084,585567,582342,389072,405121,502796,492456,506339,614034.08,674241.1,700188.6,673241,799294,811160,792953,847316,961587,1129195,1095979,1007631,1067247,1145392,1055511,1281840,1246412,1282101,1032654,1090083,1177469
Jersey,2447.766604,3079.871172,10456,12351.52478,19057,21450,28633,37307,45956,41906,48975,49120,63913.48,75160.6,86647,91079,91964,92365,98171,102218,105529,123375,120807,100868,98964,105812,95436,129993,160835,169905,137664,161893,172721
Jordan,98.10015451,64.96165162,57,40.503315,72,61,111,78,91,118,155,231,243,1086.1,1832,2011,3258,3196,3512,3714,3940,4705,4489,4459,3570,3349,3433,2895,2625,2589,1703,1826,2168
"Kazakhstan, Rep. of",139.8005739,111.2580643,102,346.087216,336,1288,1341,749,1422,2993,3329,3798,4356,3885.3,3923,3052,3974,4043,3842,4278,5074,5688,5207,4148,4937,4952,5194,5420,6311,6951,4186,4480,4371
Kenya,15.60004415,16.15358438,21,16.961633,20,15,32,39,103,192,223,444,,957.9,,2054,1963,1707,1760,1787,1787,1831,2467,2011,2680,3009,2459,2872,2947,2713,1441,1548,1536
Kiribati,,0,,0,0,,0,1,1,2,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Korea, Dem. People's Rep. of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Korea, Rep. of",34474.50056,39573,53429,73613.47547,118507,123875,139555,56056,104826,148188,146206,174689,151622.1,182811.3,191249.3,178389,185073,171088,173175,177375,232581,263113,239858,213376,221377,231203,201216,301505,314062,281847,208529,204676,235363
"Kosovo, Rep. of",,,,,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
