ccode,scode,country,year,un_region,un_continent,reg_id,regime_nr,change
2,USA,United States,1950,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1951,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1952,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1953,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1954,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1955,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1956,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1957,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1958,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1959,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1960,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1961,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1962,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1963,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1964,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1965,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1966,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1967,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1968,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1969,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1970,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1971,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1972,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1973,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1974,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1975,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1976,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1977,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1978,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1979,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1980,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1981,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1982,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1983,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1984,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1985,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1986,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1987,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1988,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1989,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1990,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1991,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1992,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1993,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1994,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1995,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1996,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1997,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1998,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,1999,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2000,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2001,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2002,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2003,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2004,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2005,Northern America,Americas,201.0,Democracy,0.0
2,USA,United States,2006,Northern America,Americas,201.0,Democracy,0.0
